"","cap-shape","cap-surface","cap-color","bruises","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","class"
"1372","x","s","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1374","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"1377","f","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1378","f","f","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1379","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1381","x","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1382","f","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1383","f","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1384","f","s","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1385","f","s","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1387","f","f","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1390","x","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1392","x","s","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1393","f","s","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1394","x","s","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1395","f","f","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1396","x","f","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","n","y","e"
"1397","x","s","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1398","x","s","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1399","f","s","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1401","f","s","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1402","f","y","y","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","e"
"1403","x","f","g","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","e"
"1405","x","s","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1407","x","s","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1409","f","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1410","f","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1411","x","f","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1412","f","s","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1413","f","s","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1418","x","s","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1419","x","s","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1421","x","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1424","f","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1425","x","s","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1426","f","f","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1427","f","s","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1429","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","e"
"1430","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1433","f","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1435","f","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1436","x","f","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","y","e"
"1438","f","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1440","x","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1442","x","s","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1444","f","f","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1445","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1446","f","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1448","f","f","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1449","x","f","n","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","v","e"
"1451","f","f","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1452","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1454","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1455","x","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1456","f","f","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1458","x","f","n","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","y","e"
"1459","x","s","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1460","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1461","x","f","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","v","e"
"1462","x","s","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1463","f","s","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1464","x","s","w","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","e"
"1467","x","f","n","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","y","e"
"1468","x","s","y","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","e"
"1469","f","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1470","x","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1471","x","y","e","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","y","e"
"1472","f","s","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1473","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1474","f","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1475","x","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1476","f","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1477","f","s","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1479","f","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1480","x","f","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1482","x","s","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1483","x","f","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1484","x","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1485","f","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","e"
"1486","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1489","x","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1490","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1492","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1494","x","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1495","x","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1496","f","f","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1497","f","s","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1498","x","s","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1499","x","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1502","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1503","f","f","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1504","x","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1505","f","f","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1506","x","f","n","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","e"
"1507","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1508","x","f","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","y","e"
"1509","x","f","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1510","x","f","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","y","e"
"1511","x","f","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1512","f","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1513","f","s","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1515","x","f","w","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","e"
"1518","f","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1519","b","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"1520","x","f","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1522","f","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1523","x","s","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1524","x","f","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1525","x","s","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","a","e"
"1527","x","y","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","y","e"
"1528","f","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1529","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1531","f","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1533","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1534","f","s","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1535","f","f","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1539","x","s","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1540","f","s","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1543","x","s","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1544","x","f","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1546","x","y","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","y","e"
"1548","f","f","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1549","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"1550","x","f","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1551","f","f","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1553","f","s","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1554","f","f","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1555","f","f","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1556","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1558","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1560","f","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1561","x","f","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1562","f","s","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1563","x","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1564","x","f","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","v","e"
"1566","x","f","g","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","v","e"
"1567","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1569","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1571","f","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1572","x","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1573","x","f","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1574","f","s","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1575","x","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"1576","f","s","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1577","x","s","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1582","x","f","n","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","v","e"
"1583","x","f","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1584","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1585","f","s","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1586","x","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1587","x","f","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","v","e"
"1588","x","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1590","f","f","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1592","x","f","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1593","f","f","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1594","f","f","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","a","e"
"1595","x","f","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1596","f","f","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1597","x","f","g","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"1598","x","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1600","x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","e"
"1601","x","y","g","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","y","e"
"1602","f","s","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1603","f","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1604","f","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1605","f","f","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1607","f","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1609","x","f","n","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","y","e"
"1610","x","s","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1611","x","f","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1613","x","f","n","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","y","e"
"1614","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1615","f","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1617","x","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1618","f","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1619","x","s","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1620","x","f","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1621","x","s","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1623","f","s","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1624","f","s","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1625","x","f","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","e"
"1626","f","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1627","x","f","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1628","x","f","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","v","e"
"1629","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1630","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1633","f","s","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1634","f","f","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1635","x","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1637","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1638","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1639","f","s","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1640","x","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1641","x","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1642","x","f","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","v","e"
"1643","x","f","n","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","v","e"
"1644","f","f","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1647","x","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"1648","f","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1649","x","s","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1650","x","f","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1653","x","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1654","x","s","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1655","x","s","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1656","f","s","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1658","f","f","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1659","f","f","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1660","x","f","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1661","f","f","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1663","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1664","x","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1665","x","s","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1666","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1667","x","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1668","x","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1671","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"1672","x","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"1673","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","e"
"1675","f","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1676","x","s","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1677","x","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1678","f","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1679","f","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1680","x","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1684","f","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1685","f","s","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1686","f","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1687","f","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1688","f","f","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1689","x","y","n","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","y","e"
"1690","x","f","n","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","y","e"
"1691","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","e"
"1692","x","f","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","y","e"
"1693","f","f","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1694","f","s","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1695","f","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","a","e"
"1697","f","s","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1698","f","f","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1699","x","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1700","x","s","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","e"
"1701","x","f","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","y","e"
"1702","f","s","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1703","f","f","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1704","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1705","x","f","n","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","e"
"1706","x","f","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1707","f","f","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1710","x","f","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","e"
"1711","x","f","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1712","x","f","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1713","x","f","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","v","e"
"1718","x","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"1719","f","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1720","f","s","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1722","f","s","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1725","b","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"1726","f","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1728","f","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1729","x","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","e"
"1730","x","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1731","f","s","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1732","x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1733","f","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1734","x","f","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1735","f","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1736","x","f","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1737","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1738","x","f","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","v","e"
"1740","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1741","x","f","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1742","f","f","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1743","f","s","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1744","x","f","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1745","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","e"
"1750","f","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1754","x","f","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1757","f","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1759","x","f","n","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","v","e"
"1760","x","s","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1761","x","s","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1762","x","f","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1763","f","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","e"
